file,class,line_comments,block_comments,comment_lines,total_comments
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\OmsOrderReturnApplyController.java,com.macro.mall.controller.OmsOrderReturnApplyController,0,0,0,0
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\OmsOrderReturnReasonController.java,<file_level>,0,1,4,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\OmsOrderReturnReasonController.java,com.macro.mall.controller.OmsOrderReturnReasonController,0,0,0,0
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\OmsOrderSettingController.java,<file_level>,0,1,4,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\OmsOrderSettingController.java,com.macro.mall.controller.OmsOrderSettingController,0,0,0,0
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\OssController.java,<file_level>,0,1,4,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\OssController.java,com.macro.mall.controller.OssController,0,0,0,0
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\PmsBrandController.java,<file_level>,0,1,4,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\PmsBrandController.java,com.macro.mall.controller.PmsBrandController,0,0,0,0
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\PmsProductAttributeCategoryController.java,<file_level>,0,1,4,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\PmsProductAttributeCategoryController.java,com.macro.mall.controller.PmsProductAttributeCategoryController,0,0,0,0
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\PmsProductAttributeController.java,<file_level>,0,1,4,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\PmsProductAttributeController.java,com.macro.mall.controller.PmsProductAttributeController,0,0,0,0
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\PmsProductCategoryController.java,<file_level>,0,1,4,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\PmsProductCategoryController.java,com.macro.mall.controller.PmsProductCategoryController,0,0,0,0
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\PmsProductController.java,<file_level>,0,1,4,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\PmsProductController.java,com.macro.mall.controller.PmsProductController,0,0,0,0
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\PmsSkuStockController.java,<file_level>,0,1,4,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\PmsSkuStockController.java,com.macro.mall.controller.PmsSkuStockController,0,0,0,0
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\SmsCouponController.java,<file_level>,0,1,4,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\SmsCouponController.java,com.macro.mall.controller.SmsCouponController,0,0,0,0
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\SmsCouponHistoryController.java,<file_level>,0,1,4,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\SmsCouponHistoryController.java,com.macro.mall.controller.SmsCouponHistoryController,0,0,0,0
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\SmsFlashPromotionController.java,<file_level>,0,1,4,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\SmsFlashPromotionController.java,com.macro.mall.controller.SmsFlashPromotionController,0,0,0,0
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\SmsFlashPromotionProductRelationController.java,<file_level>,0,1,4,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\SmsFlashPromotionProductRelationController.java,com.macro.mall.controller.SmsFlashPromotionProductRelationController,0,0,0,0
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\SmsFlashPromotionSessionController.java,<file_level>,0,1,4,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\SmsFlashPromotionSessionController.java,com.macro.mall.controller.SmsFlashPromotionSessionController,0,0,0,0
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\SmsHomeAdvertiseController.java,<file_level>,0,1,4,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\SmsHomeAdvertiseController.java,com.macro.mall.controller.SmsHomeAdvertiseController,0,0,0,0
