repo_owner,repo_name,cbo_mean,cbo_median,cbo_std,cbo_min,cbo_max,dit_mean,dit_median,dit_std,dit_min,dit_max,loc_mean,loc_median,loc_std,loc_min,loc_max
netty_netty,netty_netty,4.421857233101705,3.0,5.774207579742366,0.0,78.0,1.5099178774478839,1.0,1.1802418682858324,1.0,26.0,48.24914718888187,11.0,137.68751299956358,1.0,5141.0
networknt_light,4j,4.57246963562753,3.0,5.231610067269666,0.0,54.0,1.1708502024291498,1.0,0.5671666102356224,1.0,7.0,55.68906882591093,23.0,87.53760295242104,1.0,1000.0
newbee,ltd_newbee-mall,5.033707865168539,2.0,6.245815759738397,0.0,27.0,1.0674157303370786,1.0,0.4471564910375532,1.0,4.0,44.21348314606742,29.0,42.2708990565378,3.0,309.0
nextcloud_android,nextcloud_android,9.293069306930693,4.0,14.756665546818606,0.0,125.0,1.687128712871287,1.0,1.1654469275517476,1.0,10.0,92.31485148514851,26.0,196.7298674609882,1.0,2030.0
nhaarman_ListViewAnimations,nhaarman_ListViewAnimations,6.474452554744525,5.0,5.501444051031461,0.0,31.0,2.0583941605839415,2.0,1.2353043406720863,1.0,6.0,41.583941605839414,17.0,61.97314911169268,2.0,394.0
nICEnnnnnnnLee_BilibiliDown,nICEnnnnnnnLee_BilibiliDown,4.206106870229007,2.0,4.249349839387258,0.0,18.0,1.7213740458015268,1.0,1.3542331889492916,1.0,7.0,75.7175572519084,39.0,109.8876664179913,2.0,1138.0
Nightonke_BoomMenu,Nightonke_BoomMenu,5.6347826086956525,4.0,6.749048581138831,0.0,55.0,1.5739130434782609,1.0,0.8487438557792992,1.0,5.0,67.04347826086956,17.0,169.4587043471761,1.0,1434.0
nining377_dolby_beta,nining377_dolby_beta,4.145945945945946,4.0,5.498546971829022,0.0,57.0,1.454054054054054,1.0,0.8204567241437628,1.0,3.0,39.464864864864865,23.0,51.75968831919409,3.0,455.0
nisrulz_android,tips-tricks,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,22.0,22.0,,22.0,22.0
NLPchina_ansj_seg,NLPchina_ansj_seg,6.31651376146789,4.0,5.863721373251608,0.0,25.0,1.188073394495413,1.0,0.43620161293029003,1.0,4.0,54.88532110091743,28.0,68.03205171119468,1.0,409.0
NLPchina_elasticsearch,sql,9.601449275362318,6.0,19.73388036488514,0.0,304.0,2.0833333333333335,1.0,1.500403986002477,1.0,7.0,119.17753623188406,39.0,475.29963104904925,1.0,7156.0
nostra13_Android,Universal-Image-Loader,4.864285714285714,3.0,4.877212782122245,0.0,28.0,1.5857142857142856,1.0,0.9595091242435793,1.0,6.0,53.1,28.5,91.29533859360436,1.0,641.0
NotFound9_interviewGuide,NotFound9_interviewGuide,,,,,,,,,,,,,,,
novicezk_midjourney,proxy,5.9,5.0,5.72408669914475,0.0,29.0,1.2444444444444445,1.0,0.5469242108231445,1.0,4.0,30.966666666666665,13.5,40.29510523150395,3.0,180.0
nytimes_Store,nytimes_Store,6.2,5.0,4.9838493481705,0.0,35.0,1.5620689655172413,1.0,3.1388748775568294,1.0,52.0,38.92413793103448,14.0,182.4719187860095,1.0,2902.0
objectbox_objectbox,java,5.127551020408164,4.0,5.219387047181441,0.0,28.0,1.7551020408163265,1.0,1.8474353522831024,1.0,30.0,62.232142857142854,16.0,119.19431013171281,1.0,910.0
oblac_jodd,oblac_jodd,3.993131868131868,3.0,4.4768955487314255,0.0,53.0,1.440934065934066,1.0,1.332825527068511,1.0,24.0,36.925824175824175,19.5,54.58700757019344,2.0,680.0
obsidiandynamics_kafdrop,obsidiandynamics_kafdrop,5.52,3.0,7.568515326166965,0.0,50.0,1.32,1.0,0.851380340886777,1.0,4.0,42.15,17.5,89.96681486958278,1.0,732.0
oddfar_campus,imaotai,6.339449541284404,5.0,5.741305080501828,0.0,27.0,1.4128440366972477,1.0,1.1695917533791738,1.0,10.0,35.44954128440367,18.0,54.965676133237935,2.0,443.0
ogaclejapan_SmartTabLayout,ogaclejapan_SmartTabLayout,6.355555555555555,4.0,5.7767384457587365,0.0,26.0,1.6444444444444444,1.0,0.9806202943118,1.0,5.0,42.48888888888889,27.0,69.21659753077562,3.0,350.0
oldmanpushcart_greys,anatomy,4.066666666666666,3.0,4.3193315253245474,0.0,29.0,1.1541666666666666,1.0,0.5461766436610894,1.0,4.0,44.891666666666666,19.5,70.01390128952706,1.0,617.0
ongakuer_CircleIndicator,ongakuer_CircleIndicator,6.511111111111111,5.0,5.141728672088186,0.0,23.0,1.6222222222222222,2.0,0.6838689696694591,1.0,3.0,38.044444444444444,24.0,43.47462977810661,3.0,222.0
