name,url,stars,created_at,pushed_at,updated_at,language
zxing/zxing,https://github.com/zxing/zxing,33595,2011-10-12T14:07:27Z,2025-09-15T06:23:03Z,2025-09-19T11:06:48Z,Java
YunaiV/ruoyi-vue-pro,https://github.com/YunaiV/ruoyi-vue-pro,33297,2021-01-24T03:18:25Z,2025-08-31T11:51:42Z,2025-09-19T15:54:45Z,Java
SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium,33245,2013-01-14T21:40:56Z,2025-09-19T09:44:53Z,2025-09-19T13:44:52Z,Java
alibaba/nacos,https://github.com/alibaba/nacos,32063,2018-06-15T06:49:27Z,2025-09-19T02:19:12Z,2025-09-19T15:26:51Z,Java
binarywang/WxJava,https://github.com/binarywang/WxJava,31930,2016-01-06T08:24:05Z,2025-09-15T01:45:15Z,2025-09-19T08:02:53Z,Java
apache/kafka,https://github.com/apache/kafka,30933,2011-08-15T18:06:16Z,2025-09-19T16:42:43Z,2025-09-19T18:17:24Z,Java
ityouknow/spring-boot-examples,https://github.com/ityouknow/spring-boot-examples,30606,2016-11-05T05:32:33Z,2023-11-18T16:32:16Z,2025-09-19T10:14:51Z,Java
chinabugotech/hutool,https://github.com/chinabugotech/hutool,30082,2014-04-13T07:23:51Z,2025-09-19T12:34:37Z,2025-09-19T16:21:20Z,Java
keycloak/keycloak,https://github.com/keycloak/keycloak,29658,2013-07-02T13:38:51Z,2025-09-19T16:56:38Z,2025-09-19T17:44:20Z,Java
apolloconfig/apollo,https://github.com/apolloconfig/apollo,29656,2016-03-04T10:24:23Z,2025-09-01T11:05:49Z,2025-09-19T14:09:03Z,Java
alibaba/canal,https://github.com/alibaba/canal,29379,2013-01-13T10:59:52Z,2025-08-06T02:18:43Z,2025-09-19T11:22:48Z,Java
xuxueli/xxl-job,https://github.com/xuxueli/xxl-job,29334,2015-11-28T12:59:34Z,2025-08-24T08:46:40Z,2025-09-19T11:47:14Z,Java
conductor-oss/conductor,https://github.com/conductor-oss/conductor,29243,2023-12-08T06:06:09Z,2025-09-15T15:14:59Z,2025-09-19T18:29:09Z,Java
wuyouzhuguli/SpringAll,https://github.com/wuyouzhuguli/SpringAll,28958,2018-05-02T02:48:44Z,2024-05-31T14:56:35Z,2025-09-19T11:35:50Z,Java
alibaba/spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba,28763,2017-12-01T20:49:15Z,2025-08-28T11:03:58Z,2025-09-19T02:52:35Z,Java
alibaba/druid,https://github.com/alibaba/druid,28195,2011-11-03T05:12:51Z,2025-09-15T11:34:31Z,2025-09-19T14:14:38Z,Java
lenve/vhr,https://github.com/lenve/vhr,27946,2018-01-04T08:57:51Z,2024-11-25T00:07:39Z,2025-09-19T07:46:23Z,Java
DrKLO/Telegram,https://github.com/DrKLO/Telegram,27548,2013-10-25T14:08:10Z,2025-09-01T15:28:03Z,2025-09-19T17:18:52Z,Java
