owner,repo,Total_Classes,CBO_Média,CBO_Mediana,CBO_Moda,CBO_DesvioPadrao,CBO_Mínimo,CBO_Máximo,CBO_P90,%CBO_Outliers,%CBO_Acima_14,DIT_Média,DIT_Mediana,DIT_Moda,DIT_DesvioPadrao,DIT_Mínimo,DIT_Máximo,DIT_P90,%DIT_Outliers,%DIT_Acima_7,LOC_Média,LOC_Mediana,LOC_Moda,LOC_DesvioPadrao,LOC_Mínimo,LOC_Máximo,LOC_P90,%LOC_Outliers,%LOC_Acima_500,LCOM_Média,LCOM_Mediana,LCOM_Moda,LCOM_DesvioPadrao,LCOM_Mínimo,LCOM_Máximo,LCOM_P90,%LCOM_Outliers,Média_Coment_Classe,Coment/LOC,Média_Coment_Repo
alibaba,Alink,8181,6.438,5.0,5,6.236,0,61,14.0,4.694,9.363,1.627,1.0,1,1.0,1,18,3.0,5.721,0.196,58.134,13.0,9,228.816,1,11486,115.0,1.772,1.834,34.703,0.0,0,236.706,0,8073,15.0,2.347,5.777,0.122,7.098
alibaba,ARouter,98,3.694,2.0,1,4.91,0,30,10.0,5.102,5.102,1.408,1.0,1,0.784,1,4,2.3,10.204,0.0,32.296,10.0,3,57.988,1,339,91.6,6.122,0.0,17.449,0.0,0,83.333,0,765,19.3,2.041,6.788,0.324,10.459
alibaba,arthas,952,4.734,3.0,1,5.889,0,52,12.0,4.412,6.513,1.356,1.0,1,0.719,1,14,2.0,3.676,0.105,50.213,23.0,5,81.833,1,792,122.8,3.256,0.84,36.664,1.0,0,172.799,0,3177,65.7,1.576,6.651,0.191,9.599
alibaba,atlas,2194,5.639,4.0,1,6.72,0,67,14.0,4.558,8.933,1.436,1.0,1,0.917,1,13,3.0,2.871,0.182,71.793,22.0,5,305.707,1,13264,173.1,0.866,1.732,29.884,1.0,0,157.488,0,5441,48.0,1.823,15.545,0.285,20.434
alibaba,canal,1049,5.814,4.0,1,6.452,0,56,15.0,4.385,10.582,1.38,1.0,1,0.823,1,13,2.0,1.907,0.286,107.331,30.0,5,368.603,1,7281,233.6,1.144,3.337,77.357,1.0,0,467.413,0,13643,135.0,1.144,10.107,0.14,15.05
alibaba,COLA,559,4.329,3.0,0,4.515,0,35,10.2,5.009,4.293,1.327,1.0,1,0.715,1,5,2.0,9.123,0.0,17.208,11.0,3,20.139,1,178,39.0,5.188,0.0,4.975,0.0,0,18.32,0,231,10.0,3.041,2.038,0.149,2.56
alibaba,DataX,1222,4.502,3.0,0,5.766,0,56,12.0,5.237,7.038,1.715,1.0,1,1.513,1,8,4.0,3.682,3.355,66.444,25.0,16,104.122,1,933,172.0,4.419,1.227,22.649,0.0,0,185.316,0,4948,22.0,0.982,4.797,0.093,6.179
alibaba,dexposed,36,2.917,2.0,1,3.237,0,13,7.0,5.556,0.0,1.694,1.0,1,1.348,1,6,3.5,8.333,0.0,67.056,19.0,5,157.815,3,899,117.5,2.778,2.778,82.833,0.0,0,424.414,0,2546,18.0,2.778,11.8,0.269,18.028
alibaba,druid,5839,5.09,4.0,4,12.954,0,429,8.0,1.062,3.031,1.942,2.0,2,0.835,1,32,3.0,2.398,0.12,57.951,20.0,5,266.983,1,10451,84.0,1.25,1.473,230.56,0.0,0,5179.296,0,314028,31.0,0.343,2.269,0.054,3.119
alibaba,easyexcel,560,6.632,5.0,4,6.093,0,50,13.0,5.357,8.393,1.375,1.0,1,0.834,1,8,2.0,2.857,0.179,36.688,15.0,14,65.137,2,664,84.1,4.286,0.179,32.025,1.0,0,355.668,0,8040,24.1,0.536,8.571,0.345,12.673
alibaba,freeline,135,3.8,3.0,1,4.624,0,32,9.6,5.185,3.704,1.607,1.0,1,1.507,1,14,3.0,4.444,0.741,39.681,16.0,5,61.818,2,359,98.0,4.444,0.0,13.867,1.0,0,63.537,0,656,21.0,2.963,2.494,0.082,3.252
alibaba,jetcache,446,6.034,4.0,1,6.504,0,39,15.5,5.157,11.211,1.637,1.0,1,1.101,1,6,3.0,6.502,0.0,40.406,17.0,9,66.425,1,853,111.0,3.363,0.224,15.908,0.0,0,111.449,0,2212,26.5,1.345,1.264,0.036,1.451
alibaba,jstorm,3956,5.545,4.0,2,6.568,0,157,13.5,4.272,8.392,1.551,1.0,1,2.01,1,67,2.0,0.455,0.152,74.903,25.0,5,762.001,1,46177,160.0,0.177,1.39,42.374,1.0,0,526.013,0,24428,50.0,0.506,3.76,0.065,4.883
alibaba,jvm-sandbox,435,3.483,2.0,1,4.403,0,35,8.0,5.977,3.908,1.326,1.0,1,0.828,1,9,2.0,8.736,0.23,33.12,12.0,3,58.353,1,450,83.0,5.287,0.0,12.361,0.0,0,57.595,0,630,22.0,1.379,8.099,0.353,11.692
alibaba,nacos,4014,5.709,3.0,0,6.741,0,62,15.0,4.808,10.837,1.289,1.0,1,0.7,1,14,2.0,5.73,0.1,46.232,24.0,2,72.625,2,901,106.7,3.961,0.448,23.129,0.0,0,312.611,0,18145,28.0,0.498,6.634,0.197,9.113
alibaba,otter,1296,4.613,3.0,1,5.383,0,39,12.0,5.864,7.022,1.373,1.0,1,0.746,1,7,2.0,7.33,0.0,52.595,21.0,5,180.054,1,5383,104.5,1.08,0.772,32.454,1.0,0,252.543,0,6378,45.0,1.08,5.907,0.161,8.473
alibaba,QLExpress,330,5.867,3.0,0,10.934,0,165,13.0,1.212,6.97,1.409,1.0,1,0.642,1,6,2.0,2.121,0.0,37.264,19.0,21,89.449,1,1227,70.0,2.121,0.606,38.994,2.0,0,286.585,0,4579,21.0,1.515,1.786,0.059,2.203
alibaba,Sentinel,1514,4.419,3.0,1,4.508,0,47,10.0,4.557,3.236,1.18,1.0,1,0.656,1,18,2.0,3.038,0.066,36.614,20.0,5,48.161,1,604,93.7,5.218,0.066,12.483,0.0,0,46.737,0,612,22.0,2.642,3.916,0.145,5.297
alibaba,spring-ai-alibaba,3177,6.111,4.0,0,7.181,0,119,15.0,4.281,10.513,1.168,1.0,1,0.486,1,5,2.0,2.14,0.0,49.312,23.0,5,78.479,1,1415,119.0,3.714,0.504,21.69,0.0,0,150.528,0,7457,45.0,1.07,7.645,0.226,11.163
alibaba,spring-cloud-alibaba,596,5.81,5.0,3,4.829,0,30,13.0,4.195,5.705,1.111,1.0,1,0.354,1,4,1.5,10.067,0.0,31.732,14.5,5,67.241,2,1198,70.0,1.678,0.336,29.612,0.0,0,309.962,0,6903,15.0,0.671,4.1,0.169,5.352
alibaba,Tangram-Android,574,5.26,3.0,1,7.162,0,50,11.0,5.401,7.317,1.678,1.0,1,1.144,1,6,4.0,10.279,0.0,42.401,10.0,5,96.912,1,816,114.8,4.181,1.22,23.211,0.0,0,121.158,0,1540,28.0,2.091,5.425,0.142,6.021
alibaba,transmittable-thread-local,155,5.587,5.0,2,3.733,0,15,11.0,4.516,1.935,1.432,1.0,1,1.093,1,9,2.6,5.806,0.645,44.723,23.0,3,66.301,1,574,98.0,3.871,0.645,12.355,1.0,0,38.261,0,365,25.0,4.516,15.516,0.477,21.323
alibaba,UltraViewPager,24,5.208,2.0,1,6.852,0,25,12.7,8.333,8.333,1.375,1.0,1,0.495,1,2,2.0,0.0,0.0,63.25,13.5,5,101.167,1,356,221.1,8.333,0.0,58.375,0.0,0,124.882,0,446,277.4,4.167,7.636,0.166,10.5
alibaba,vlayout,159,5.314,3.0,2,6.715,0,44,15.0,5.66,10.692,1.855,1.0,1,1.492,1,7,4.2,10.063,0.0,88.314,13.0,5,198.99,1,1324,274.6,5.66,5.031,72.541,0.0,0,368.428,0,3912,96.2,2.516,10.418,0.158,13.956
alipay,SoloPi,1170,4.623,2.0,1,6.675,0,84,11.0,4.274,6.667,1.206,1.0,1,0.65,1,7,2.0,4.957,0.0,48.143,13.0,5,113.168,1,1320,117.1,3.59,1.026,13.136,0.0,0,70.342,0,1237,15.0,2.137,5.54,0.142,6.852
allure-framework,allure2,269,6.059,4.0,2,5.639,0,39,12.2,2.602,5.948,1.305,1.0,1,0.789,1,5,2.0,4.461,0.0,29.967,13.0,8,39.59,2,291,74.2,5.576,0.0,11.602,1.0,0,38.456,0,419,28.0,2.23,1.885,0.073,2.201
Alluxio,alluxio,4027,6.907,5.0,2,8.367,0,174,15.4,3.998,11.547,1.483,1.0,1,1.485,1,68,2.0,1.54,0.149,62.689,30.0,5,120.313,1,3236,140.0,2.856,1.167,30.659,1.0,0,238.173,0,8911,32.0,1.192,12.31,0.322,20.167
amirzaidi,Launcher3,990,7.24,3.0,1,10.899,0,150,18.0,4.141,13.737,1.475,1.0,1,0.864,1,8,3.0,2.626,0.303,60.737,15.0,5,172.081,1,2868,136.1,2.222,1.111,63.681,0.0,0,728.693,0,16414,35.0,0.505,5.811,0.128,7.76
amitshekhariitbhu,Android-Debug-Database,61,4.148,4.0,4,3.803,0,21,8.0,4.918,1.639,1.279,1.0,1,0.521,1,3,2.0,3.279,0.0,39.23,11.0,6,64.374,2,330,80.0,4.918,0.0,8.803,0.0,0,22.798,0,151,28.0,1.639,0.78,0.027,1.049
amitshekhariitbhu,android-interview-questions,1,0.0,0.0,0,,0,0,0.0,0.0,0.0,1.0,1.0,1,,1,1,1.0,0.0,0.0,5.0,5.0,5,,5,5,5.0,0.0,0.0,0.0,0.0,0,,0,0,0.0,0.0,0.0,0.0,0.0
amitshekhariitbhu,Fast-Android-Networking,575,3.219,2.0,0,4.596,0,53,8.0,5.391,3.478,1.25,1.0,1,1.126,1,18,2.0,1.043,0.348,34.08,11.0,8,95.996,1,1533,68.0,4.696,0.522,13.769,1.0,0,100.482,0,1866,6.0,1.565,1.59,0.049,1.668
amitshekhariitbhu,from-java-to-kotlin,2,0.5,0.5,0,0.707,0,1,0.9,0.0,0.0,1.0,1.0,1,0.0,1,1,1.0,0.0,0.0,18.5,18.5,2,23.335,2,35,31.7,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
amitshekhariitbhu,RxJava2-Android-Samples,185,3.665,2.0,2,4.375,0,37,10.0,2.703,0.541,1.254,1.0,1,0.461,1,3,2.0,1.081,0.0,21.578,15.0,5,24.102,2,188,51.0,5.405,0.0,6.286,0.0,0,41.732,0,561,6.0,1.081,1.37,0.078,1.681
amlcurran,ShowcaseView,65,5.385,5.0,2,5.592,0,36,10.0,3.077,4.615,1.4,1.0,1,0.68,1,4,2.0,7.692,0.0,32.092,17.0,5,67.474,1,505,52.6,3.077,1.538,17.815,0.0,0,118.875,0,960,12.0,1.538,3.284,0.128,4.092
andkulikov,Transitions-Everywhere,193,6.87,5.0,2,6.074,0,31,16.0,7.254,12.953,1.679,1.0,1,1.346,1,11,3.0,3.109,1.036,49.145,13.0,5,109.534,3,1191,121.2,3.627,0.518,25.72,0.0,0,223.419,0,3061,20.6,1.036,10.23,0.258,12.668
andOTP,andOTP,166,6.108,3.0,0,8.454,0,55,13.0,5.422,9.639,1.5,1.0,1,0.983,1,6,2.5,4.819,0.0,50.861,13.0,1,103.9,1,680,124.0,4.819,1.205,41.416,0.0,0,339.33,0,4273,27.0,1.205,2.048,0.051,2.578
andremion,Music-Player,32,4.406,3.5,1,3.68,0,12,10.0,3.125,0.0,1.75,2.0,1,0.803,1,4,3.0,3.125,0.0,28.938,19.5,5,32.109,2,150,72.7,3.125,0.0,5.031,0.5,0,9.767,0,37,13.0,6.25,0.886,0.042,1.219
android-async-http,android-async-http,154,5.662,4.0,1,6.151,0,50,10.0,1.948,2.597,1.786,1.0,1,1.078,1,5,4.0,11.039,0.0,49.481,25.0,5,76.131,3,666,107.7,3.896,0.649,45.877,3.0,0,293.705,0,3536,32.2,1.299,10.286,0.278,13.76
android-hacker,VirtualXposed,1453,3.947,2.0,1,5.326,0,61,8.0,3.648,3.648,2.793,2.0,1,11.859,1,303,4.0,0.551,1.101,32.853,8.0,2,89.088,1,1267,74.0,3.372,0.757,14.696,0.0,0,128.638,0,2899,6.0,1.239,2.102,0.073,2.386
android10,Android-CleanArchitecture,105,5.143,4.0,1,4.671,0,22,12.0,4.762,4.762,1.429,1.0,1,0.705,1,3,3.0,12.381,0.0,21.524,13.0,4,27.09,2,201,44.0,3.81,0.0,6.724,1.0,0,23.218,0,176,13.6,1.905,2.986,0.192,4.124
androidannotations,androidannotations,963,5.957,4.0,1,6.419,0,91,14.0,4.569,9.761,1.683,1.0,1,0.9,1,10,3.0,4.777,0.208,29.907,11.0,2,59.298,1,604,64.0,3.115,0.312,26.099,1.0,0,213.177,0,4131,21.0,0.935,1.844,0.073,2.181
android,testing-samples,86,5.5,5.5,2,3.547,0,14,10.0,4.651,0.0,1.349,1.0,1,0.526,1,3,2.0,2.326,0.0,21.5,19.0,10,15.821,1,76,41.0,4.651,0.0,3.151,0.0,0,6.806,0,28,7.5,8.14,4.824,0.31,6.674
android,views-widgets-samples,152,4.02,2.0,2,4.271,0,25,10.0,5.263,3.289,1.73,1.0,1,1.185,1,9,3.0,4.605,0.658,48.316,17.0,5,81.563,1,639,135.3,3.947,0.658,7.013,0.0,0,21.033,0,147,20.9,2.632,6.688,0.175,8.447
Angel-ML,angel,1902,7.425,5.0,2,10.057,0,180,16.0,3.785,11.672,1.739,2.0,1,0.878,1,10,3.0,4.101,0.053,107.816,34.0,5,504.383,1,10799,181.0,0.946,2.576,63.42,0.0,0,591.983,0,19110,66.0,0.683,8.749,0.118,12.728
anggrayudi,android-hidden-api,4,8.0,7.5,2,5.477,2,15,13.2,0.0,25.0,1.0,1.0,1,0.0,1,1,1.0,0.0,0.0,119.5,138.0,8,89.972,8,194,193.1,0.0,0.0,56.5,0.5,0,112.334,0,225,157.8,0.0,43.429,0.636,76.0
angryip,ipscan,383,4.987,3.0,2,4.814,0,34,11.0,4.961,4.961,1.666,1.0,1,1.63,1,24,3.0,2.35,0.783,32.893,17.0,5,40.583,1,377,82.0,4.439,0.0,4.151,0.0,0,12.473,0,124,13.0,3.133,2.54,0.11,3.608
ant-media,Ant-Media-Server,1189,5.717,2.0,1,9.457,0,96,16.0,4.289,10.934,1.325,1.0,1,0.727,1,6,2.0,7.653,0.0,90.36,19.0,5,260.866,1,3989,176.2,3.028,3.616,183.491,1.0,0,2599.012,0,86012,114.2,0.589,18.327,0.323,29.178
AntennaPod,AntennaPod,818,7.421,5.0,1,8.939,0,89,17.0,3.79,13.692,1.484,1.0,1,0.783,1,8,2.0,1.956,0.122,63.279,28.0,5,107.344,1,1484,142.3,3.667,1.467,21.411,1.0,0,106.389,0,1521,30.3,1.834,3.487,0.077,4.851
antlr,antlr4,662,5.773,3.0,2,7.226,0,54,14.0,3.776,8.61,1.835,1.0,1,1.166,1,9,3.0,3.776,0.302,61.974,20.0,5,114.798,1,1372,167.7,3.927,1.208,48.302,0.0,0,192.863,0,2942,80.9,3.172,11.649,0.278,17.245
antoniolg,androidmvp,14,3.286,2.0,0,3.771,0,10,9.0,0.0,0.0,1.286,1.0,1,0.469,1,2,2.0,0.0,0.0,19.571,16.0,3,15.134,3,46,36.8,0.0,0.0,3.0,0.0,0,4.641,0,14,9.4,7.143,0.067,0.004,0.071
apache,beam,16222,7.416,5.0,2,8.062,0,140,17.0,4.42,12.989,1.535,1.0,1,1.389,1,38,2.0,1.917,0.616,44.843,16.0,5,97.893,1,3510,104.0,2.959,0.814,19.624,0.0,0,171.058,0,11781,24.0,0.962,4.802,0.144,6.464
apache,calcite,5648,7.659,5.0,2,10.227,0,237,16.0,3.169,12.27,1.704,1.0,1,2.098,1,81,3.0,1.381,0.956,65.014,18.0,5,255.831,1,9609,115.0,1.505,1.894,384.072,1.0,0,7973.415,0,365858,36.0,0.319,11.298,0.255,16.576
apache,camel,41580,4.845,3.0,0,8.629,0,726,11.0,1.118,4.476,1.63,1.0,1,2.615,1,505,3.0,0.113,0.051,44.776,18.0,5,138.952,1,17537,94.0,1.76,0.748,79.707,1.0,0,2198.706,0,255255,21.0,0.204,10.359,0.311,13.947
apache,cassandra,12653,6.823,5.0,1,8.031,0,161,15.0,4.094,11.072,1.77,1.0,1,1.815,1,65,3.0,1.984,0.798,58.786,23.0,5,116.694,1,3275,142.0,3.288,1.154,59.15,1.0,0,1395.566,0,127537,45.0,0.198,5.323,0.123,7.239
apache,dolphinscheduler,2767,6.532,5.0,4,6.559,0,79,14.0,4.771,9.469,1.378,1.0,1,0.683,1,7,2.0,5.06,0.0,35.209,14.0,8,65.675,1,1659,82.4,3.0,0.361,11.459,0.0,0,56.668,0,1609,22.0,1.482,5.827,0.223,7.838
apache,doris,8154,8.594,5.0,0,19.941,0,1170,18.0,1.226,14.839,1.741,1.0,1,1.178,1,24,3.0,3.103,0.061,73.788,26.0,5,186.918,1,6244,161.0,2.428,2.122,121.812,1.0,0,2682.192,0,153715,45.0,0.233,5.673,0.111,8.158
apache,druid,14927,7.867,5.0,2,9.237,0,150,18.0,4.026,14.015,1.376,1.0,1,1.808,1,165,2.0,0.938,0.167,51.364,23.0,5,101.938,1,3323,118.0,2.814,0.764,62.03,1.0,0,4498.104,0,541320,26.0,0.013,4.02,0.106,5.423
apache,dubbo,4902,5.417,4.0,2,5.8,0,68,12.0,4.08,6.895,1.288,1.0,1,0.696,1,13,2.0,5.324,0.02,51.187,20.0,5,101.285,1,2589,121.0,3.366,0.796,46.109,1.0,0,437.486,0,25518,45.0,0.959,4.846,0.126,6.428
apache,dubbo-spring-boot-project,89,7.112,6.0,3,4.996,0,20,14.0,5.618,7.865,1.169,1.0,1,0.376,1,2,2.0,16.854,0.0,21.438,14.0,5,25.754,2,160,43.4,5.618,0.0,11.933,0.0,0,71.135,0,665,13.4,1.124,3.105,0.202,4.326
apache,flink,24328,7.155,5.0,3,8.637,0,176,16.0,3.884,11.929,1.64,1.0,1,1.837,1,93,3.0,1.48,0.707,46.583,19.0,5,101.646,1,4541,109.0,2.742,0.596,34.943,1.0,0,1189.114,0,162693,28.0,0.132,5.75,0.17,7.938
apache,flink-cdc,1888,8.316,5.0,2,8.994,0,62,21.3,5.297,19.227,1.462,1.0,1,0.897,1,16,3.0,3.019,0.265,61.14,30.0,5,91.333,1,798,152.3,4.025,0.794,30.025,1.0,0,198.376,0,7254,54.3,1.271,5.758,0.139,8.512
apache,fory,1293,5.254,3.0,0,7.859,0,125,12.0,4.176,7.502,2.12,1.0,1,4.358,1,90,4.0,1.005,1.392,55.383,15.0,2,140.302,1,1921,124.0,3.094,1.933,34.451,0.0,0,221.269,0,4696,28.0,1.624,3.517,0.082,4.567
apache,hadoop,22139,7.432,4.0,2,11.368,0,357,17.0,3.139,13.0,1.611,1.0,1,1.404,1,77,3.0,2.231,0.501,76.024,22.0,5,219.115,1,19657,178.0,2.222,2.34,69.787,0.0,0,934.775,0,85638,54.0,0.619,12.423,0.232,17.666
apache,hbase,11526,8.171,5.0,2,10.89,0,410,20.0,3.358,17.352,1.497,1.0,1,1.595,1,116,3.0,1.57,0.33,82.061,25.0,5,628.101,1,49088,174.0,0.321,2.074,69.446,1.0,0,871.406,0,35098,45.0,0.46,8.522,0.146,12.016
apache,hertzbeat,1343,7.006,5.0,0,6.775,0,55,16.0,4.17,13.552,1.284,1.0,1,1.529,1,52,2.0,0.968,0.074,43.872,16.0,5,107.333,2,2854,95.8,2.234,0.67,9.806,0.0,0,54.472,0,845,15.0,1.489,5.501,0.182,8.004
apache,hive,20363,6.9,4.0,2,12.7,0,850,15.0,1.596,12.695,1.413,1.0,1,1.172,1,47,2.0,3.069,0.265,98.556,31.0,5,1805.514,1,254130,214.8,0.059,2.74,94.117,1.0,0,2843.141,0,364231,66.0,0.157,6.714,0.094,9.247
apache,hudi,4556,9.197,6.0,2,10.309,0,111,23.0,4.741,21.356,1.58,1.0,1,1.016,1,17,3.0,4.609,0.263,66.839,27.0,5,126.01,1,2253,163.0,3.27,1.251,60.146,1.0,0,978.904,0,62251,55.0,0.439,8.434,0.187,12.528
apache,iceberg,4544,8.586,6.0,3,8.293,0,84,19.0,4.335,17.474,1.678,1.0,1,1.674,1,49,3.0,2.355,0.946,68.998,32.0,8,107.156,1,1630,165.0,4.291,1.21,36.413,2.0,0,172.596,0,3988,64.0,1.805,4.927,0.101,6.954
apache,ignite,21069,5.626,3.0,1,8.882,0,213,13.0,3.076,8.515,1.654,1.0,1,1.387,1,59,3.0,2.743,0.223,53.663,15.0,5,435.221,1,55961,110.0,0.408,1.258,494.402,0.0,0,64508.439,0,9363046,29.2,0.005,11.655,0.348,18.701
apache,incubator-heron,1675,5.699,4.0,1,6.092,0,49,13.0,5.552,8.299,1.466,1.0,1,0.906,1,9,3.0,4.119,0.119,42.069,20.0,5,59.427,1,523,106.0,5.134,0.06,20.748,1.0,0,185.35,0,6093,24.0,1.075,6.524,0.211,8.857
apache,incubator-seata,3648,6.561,4.0,2,22.069,0,629,12.0,0.192,5.757,1.817,1.0,1,15.084,1,911,3.0,0.027,0.055,64.142,24.0,5,1097.444,2,66120,102.0,0.055,0.576,520.975,2.0,0,15720.774,0,651511,63.3,0.164,10.552,0.223,14.295
apache,iotdb,8679,8.232,6.0,1,14.456,0,501,17.0,1.555,13.054,1.608,1.0,1,1.018,1,18,3.0,6.948,0.081,87.115,34.0,5,216.264,1,5651,192.0,2.362,2.477,107.347,1.0,0,2599.562,0,219818,55.0,0.3,5.368,0.088,7.648
apache,jmeter,1719,5.494,4.0,1,5.966,0,97,12.0,3.025,5.585,1.999,2.0,1,1.502,1,12,4.0,5.003,1.338,74.092,34.0,5,115.347,1,1282,183.0,3.781,1.28,62.118,3.0,0,382.716,0,9996,96.2,1.163,16.328,0.367,27.195
apache,kafka,8477,7.797,4.0,1,13.443,0,446,18.0,2.819,13.826,1.436,1.0,1,1.099,1,17,2.0,3.834,0.507,79.658,26.0,5,215.224,1,6464,171.4,2.43,2.572,63.094,0.0,0,1084.565,0,70125,43.0,0.389,9.393,0.164,13.101
apache,kylin,4765,7.797,5.0,0,9.658,0,155,18.0,4.302,15.026,1.499,1.0,1,0.836,1,15,3.0,2.938,0.084,66.695,22.0,5,148.865,1,3680,159.0,2.98,1.637,137.61,1.0,0,5212.108,0,346603,45.0,0.084,3.319,0.067,4.496
apache,logging-log4j2,3437,5.497,4.0,1,5.217,0,56,12.0,4.772,5.761,1.513,1.0,1,1.436,1,55,3.0,1.978,0.378,48.781,21.0,5,96.8,1,2759,115.0,2.502,0.611,46.127,1.0,0,1260.09,0,73536,36.0,0.058,9.409,0.275,13.411
