owner,repo,Total_Classes,CBO_Média,CBO_Mediana,CBO_Moda,CBO_DesvioPadrao,CBO_Mínimo,CBO_Máximo,CBO_P90,%CBO_Outliers,%CBO_Acima_14,DIT_Média,DIT_Mediana,DIT_Moda,DIT_DesvioPadrao,DIT_Mínimo,DIT_Máximo,DIT_P90,%DIT_Outliers,%DIT_Acima_7,LOC_Média,LOC_Mediana,LOC_Moda,LOC_DesvioPadrao,LOC_Mínimo,LOC_Máximo,LOC_P90,%LOC_Outliers,%LOC_Acima_500,LCOM_Média,LCOM_Mediana,LCOM_Moda,LCOM_DesvioPadrao,LCOM_Mínimo,LCOM_Máximo,LCOM_P90,%LCOM_Outliers,Média_Coment_Classe,Coment/LOC,Média_Coment_Repo
00-Evan,shattered-pixel-dungeon,2679,6.338,4.0,1,9.289,0,189,13.0,2.912,7.242,2.849,2.0,1,2.934,1,92,5.0,1.792,2.389,59.212,26.0,5,109.213,1,1828,130.0,3.285,1.194,13.926,1.0,0,99.181,0,3238,21.0,0.896,1.391,0.031,1.846
1024-lab,smart-admin,572,6.414,4.0,4,5.989,0,35,15.0,5.07,11.014,1.227,1.0,1,0.436,1,4,2.0,0.35,0.0,22.5,10.0,4,33.603,2,300,61.0,4.72,0.0,3.79,0.0,0,19.187,0,325,4.0,2.448,6.445,0.431,9.691
201206030,novel,202,4.416,2.0,2,5.519,0,46,11.0,3.96,3.96,1.069,1.0,1,0.338,1,4,1.0,4.95,0.0,22.495,10.0,2,31.212,2,306,57.7,2.475,0.0,20.485,0.0,0,67.182,0,700,63.0,4.455,6.961,0.516,11.614
201206030,novel-plus,409,6.479,3.0,3,7.299,0,50,18.0,8.313,16.137,1.21,1.0,1,0.464,1,4,2.0,0.978,0.0,37.421,24.0,9,41.517,2,426,79.0,3.667,0.0,46.628,1.0,0,124.411,0,1274,170.0,1.222,7.67,0.272,10.164
2227324689,gpmall,424,4.979,3.0,4,5.964,0,37,13.0,5.425,8.255,1.361,1.0,1,0.645,1,5,2.0,2.83,0.0,20.908,9.0,2,30.927,1,280,52.7,4.717,0.0,8.17,0.0,0,43.341,0,665,10.0,2.358,5.042,0.335,7.005
527515025,springBoot,264,5.087,4.0,1,4.429,0,32,11.0,5.303,3.409,1.148,1.0,1,0.415,1,4,2.0,12.879,0.0,23.674,14.5,5,39.09,2,537,46.0,2.273,0.379,15.496,0.0,0,70.73,0,858,21.0,1.894,3.858,0.204,4.822
648540858,wvp-GB28181-pro,749,8.231,5.0,1,9.959,0,100,20.0,4.272,17.623,1.295,1.0,1,0.535,1,4,2.0,3.071,0.0,62.936,25.0,3,119.293,1,1427,155.0,3.471,1.736,35.13,0.0,0,162.062,0,1953,54.2,2.403,6.574,0.159,9.997
981011512,--,5069,3.542,2.0,1,7.169,0,371,7.0,1.973,3.334,2.911,2.0,3,52.985,1,3734,3.0,0.039,0.118,66.695,10.0,5,488.455,1,23031,94.0,0.73,2.604,440.426,0.0,0,5564.686,0,214143,55.0,0.769,6.37,0.16,10.695
aa112901,remusic,845,5.187,3.0,1,6.427,0,62,12.0,4.734,7.337,1.453,1.0,1,0.808,1,7,2.0,2.84,0.0,56.551,17.0,5,146.281,1,2715,141.0,1.893,0.828,41.646,0.0,0,345.672,0,6785,21.0,1.065,4.301,0.098,5.523
abel533,Mapper,458,5.057,4.0,2,4.636,0,34,11.0,3.493,3.493,1.242,1.0,1,0.529,1,4,2.0,3.057,0.0,41.712,16.0,3,74.483,1,862,98.2,4.803,0.437,36.177,0.0,0,175.547,0,2016,24.6,2.62,8.316,0.277,11.566
Activiti,Activiti,3407,5.802,4.0,2,8.608,0,296,12.0,1.908,5.694,1.531,1.0,1,0.902,1,8,3.0,4.08,0.059,45.664,19.0,5,107.239,1,2489,92.0,2.876,0.881,89.411,1.0,0,1571.657,0,87579,47.4,0.528,4.239,0.122,5.572
aeron-io,aeron,1313,7.834,4.0,1,9.998,0,93,20.8,4.874,17.593,1.299,1.0,1,0.914,1,9,2.0,3.96,0.152,93.504,34.0,5,194.001,1,2236,219.0,3.884,3.732,113.724,0.0,0,1254.777,0,37165,41.2,0.838,17.723,0.274,25.606
ageerle,ruoyi-ai,862,6.352,4.0,2,6.784,0,54,15.0,6.381,10.789,1.284,1.0,1,0.672,1,6,2.0,2.32,0.0,31.196,13.0,5,52.546,1,428,66.9,5.22,0.0,12.887,0.0,0,54.058,0,808,24.0,2.204,10.714,0.591,18.445
airbnb,epoxy,610,7.197,5.0,2,6.334,0,37,16.0,4.262,17.213,1.813,2.0,2,1.073,1,18,3.0,5.41,0.164,70.961,11.0,5,103.264,1,674,192.0,3.115,1.311,138.774,1.0,0,320.18,0,2579,416.0,2.459,10.791,0.186,13.215
airbnb,lottie-android,293,6.898,5.0,3,8.313,0,67,16.0,4.437,12.628,1.287,1.0,1,0.646,1,6,2.0,6.143,0.0,61.058,24.0,8,119.82,1,1056,131.6,3.754,2.048,33.413,0.0,0,283.155,0,4618,26.0,0.683,7.507,0.176,10.761
alamkanak,Android-Week-View,27,3.63,2.0,0,7.201,0,36,8.2,3.704,3.704,1.259,1.0,1,0.594,1,3,2.0,7.407,0.0,74.185,13.0,3,239.819,1,1257,119.4,3.704,3.704,238.333,0.0,0,1189.258,0,6187,32.4,3.704,12.881,0.27,20.037
